"%s already exist","%s existent déjà"
"%s already exists","%s existe déjà"
"-- Please Select --","-- Votre choix --"
"Add Block Names to Hints","Ajouter les noms des blocs aux astuces"
"Add Store Code to Urls","Ajouter le code du magasin aux URLs"
"Admin","Admin"
"Admin Base URL","URL de base de l'admin"
"Admin User Emails","Emails de l'administrateur"
"Advanced","Avancé"
"Allow countries","Autoriser les pays"
"Allowed IPs (comma separated)","IPs autorisées (séparées par des virgules)"
"Are you sure?","En êtes-vous sûr ?"
"Back","Retour"
"Base JavaScript URL","URL de base Javascript"
"Base Link URL","URL de base lien"
"Base Media URL","URL de base Media"
"Base Skin URL","URL de base habillage"
"Base URL","URL de base"
"Before modifying the store view code please make sure that it is not used in index.php","Avant de modifier le code de vue magasin, assurez-vous qu'il n'est pas utilisé dans index.php"
"Before modifying the website code please make sure that it is not used in index.php","Avant de modifier le code de site web, assurez-vous qu'il n'est pas utilisé dans index.php"
"Block with name ""%s"" already exists","Un bloc portant le nom ""%s"" existe déjà"
"Can't retrieve request object","Impossible de récupérer l'objet de requête"
"Can\'t retrieve entity config: %s","Impossible de récupérer la configuration de l\'entité : %s"
"Can't retrieve entity config: %s","Impossible de récupérer la configuration de l\'entité : %s"
"Cancel","Annuler"
"Cannot Delete Email Template","Impossible d'effacer le gabarit de mail"
"Code","Code"
"Controller file was loaded but class does not exist","Le fichier de controller a été chargé mais la classe n'existe pas"
"Cookie Domain","Domaine du cookie"
"Cookie Lifetime","Durée de vie des cookies"
"Cookie Path","Chemin du cookie"
"Countries options","Options des pays"
"Create Store","Créer un magasin"
"Create Store View","Créer une vue magasin"
"Create Website","Créer un site web"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Tâches programmées) - tous les temps sont en minutes"
"Current package name","Nom du paquet actuel"
"Custom Design","Design personnalisé"
"Custom admin URL","URL d'admin personnalisée"
"Custom email 1","Email personnalisé 1"
"Custom email 2","Email personnalisé 2"
"Customer support","Support client"
"Database was successfuly backed up.","La base de données a bien été sauvegardée."
"Date From","Entre le"
"Date To","et le"
"Date/time format ""%s"" is not supported.","Le format de date/heure ""%s"" n'est pas supporté."
"Debug","Déboguage"
"Default","Défaut"
"Default Pages","Pages par défaut"
"Default Store","Magasin par défaut"
"Default Store View","Vue magasin par défaut"
"Default country","Pays par défaut"
"Default no-route url","URL non trouvée par défaut"
"Default web url","URL web par défaut"
"Delete","Supprimer"
"Delete Store","Supprimer le magasin"
"Delete Store View","Effacer la vue magasin"
"Delete Website","Supprimer le site web"
"Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view.","Effacer une vue magasin n'effacera pas les informations associées à cette vue magasin (par ex. les catégories, les produits, etc.), mais la vue magasin ne pourra pas être restaurée. Il est recommandé de créer une sauvegarde de la base de données avant d'effacer la vue magasin."
"Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store.","Effacer un magasin n'effacera pas les informations associées à ce magasin (par ex. les catégories, les produits, etc.), mais le magasin ne pourra pas être restauré. Il est recommandé de créer une sauvegarde de la base de données avant d'effacer le magasin."
"Deleting a website will not delete the information associated with the website (e.g. stores, categories, products, etc.), but the website will not be able to be restored. It is suggested that you create a database backup before deleting the website.","Effacer un site web n'effacera pas les informations associées à ce site web (par ex. les catégories, les produits, etc.), mais le site web ne pourra pas être restauré. Il est recommandé de créer une sauvegarde de la base de données avant d'effacer le site web."
"Design","Design"
"Design Change","Changement de design"
"Developer","Développeur"
"Developer Client Restrictions","Restrictions client développeur"
"Disable email communications","Désactiver les communications mail"
"Disable modules output","Désactiver la sortie des modules"
"Duplicate Of Template Code","Duplication du code de gabarit"
"Edit Design Change","Éditer le changement de design"
"Edit Store","Modifier le magasin"
"Edit Store View","Éditer la vue magasin"
"Edit Website","Modifier le site web"
"Empty identifier field name","Vider le nom du champ d'identifiant"
"Empty main table name","Nom de table principale vide"
"Enabled","Activé"
"Enabled for Admin","Activée pour l'admin"
"Enabled for Frontend","Activée pour le frontend"
"Error in file: ""%s"" - %s","Erreur dans le fichier : ""%s"" - %s"
"Error while saving. Please try again later.","Erreur lors de la sauvegarde. Veuillez réessayer plus tard."
"Error: Passwords do not match","Erreur : les mots de passe sont différents"
"Exception Log File Name","Nom du fichier de log pour les exceptions"
"File Name","Nom de fichier"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Afin que les URLs soient générées correctement lors de l'exécution de cron, assurez-vous que les URL non sécurisée et sécurisée sont correctement renseignées."
"Forgot Password Email Sender","Expéditeur du mail d'oubli de mot de passe"
"Forgot Password Email Template","Gabarit du mail d'oubli de mot de passe"
"General","Général"
"General Settings","Paramètres généraux"
"General contact","Contact général"
"Global","Global"
"Host","Serveur"
"Id path for specified store","Chemin identifiant pour le magasin spécifié"
"Incorrect credit card expiration date","Date d'expiration de carte incorrecte"
"Invalid base url type","Type d'URL de base invalide"
"Invalid block name to set child %s: %s","Nom de bloc non valide pour rattacher l'enfant %s : %s"
"Invalid block type: %s","Type de bloc non valide : %s"
"Invalid block: %s","Bloc non valide : %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argument non valide pour la mise à jour d'agencement de page, Mage_Core_Model_Layout_Element attendu"
"Invalid layout update handle","Manipulation de mise à jour de gabarit non valide"
"Invalid messages storage ""%s"" for layout messages initialization","Stockage des messages ""%s"" invalide pour l'initialisation des messages de gabarit"
"Invalid transactional email code: ","Code d'email transactionnel invalide :"
"Invalid websites configuration path: %s","Chemin de configuration des sites web non valide : %s"
"Layout","Agencement"
"Leave empty for access from any location","Laisser vide pour accéder depuis n'importe quelle IP"
"Locale","Profil local"
"Locale options","Options de locale"
"Manage Stores","Gérer les magasins"
"Match expresions in the same order as displayed in the configuration.","Traite les occurrences dans l'ordre d'affichage dans la configuration"
"Model class does not exist: %s","La classe modèle n'existe pas : %s"
"Model collection resource name is not defined","Le nom de ressource de modèle collection n'est pas défini"
"Name","Nom"
"New Design Change","Nouveau changement de design"
"New Store","Nouveau magasin"
"New Store View","Nouvelle vue magasin"
"New Website","Nouveau site web"
"Package","Paquet"
"Please choose to register or to checkout as a guest","Choisissez de vous enregistrer ou de passer votre commande en tant qu'invité"
"Please enter 6 or more characters.","Saisissez 6 caractères ou plus"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Saisissez 6 caractères ou plus. Les espaces en début ou fin de chaîne seront ignorés."
"Please enter a number greater than 0 in this field.","Saisissez un nombre supérieur à 0"
"Please enter a valid $ amount. For example $100.00.","Saisissez un montant valide. Par ex. 100.00€"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Saisissez une URL valide. Par exemple http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Saisissez une URL valide. Elle doit commencer par http://"
"Please enter a valid credit card number.","Saisissez un numéro de carte de paiement valide."
"Please enter a valid date.","Saisissez une date valide."
"Please enter a valid email address. For example johndoe@domain.com.","Saisissez une adresse email valide. Par ex. johndoe@domain.com"
"Please enter a valid number in this field.","Saisissez un nombre valide"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Saisissez un numéro de téléphone valide. Par ex. 01 23 45 67 89"
"Please enter a valid social security number. For example 123-45-6789.","Saisissez un numéro de sécurité sociale valide. Par exemple 123-45-6789."
"Please enter a valid zip code.","Saisissez un code postal valide."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Saisissez un code postal valide. Par exemple 90602 ou 90602-1234."
"Please enter valid password.","Saisissez un mot de passe valide."
"Please make sure your passwords match.","Vérifiez que vos mots de passe concordent."
"Please select State/Province.","Sélectionnez un état/région"
"Please select an option.","Sélectionnez une option."
"Please select one of the above options.","Sélectionnez une des options ci-dessus."
"Please select one of the options.","Sélectionnez une des options."
"Please specify payment method.","Choisissez un mode de paiement."
"Please specify shipping method.","Choisissez un mode de livraison."
"Please use letters only (a-z) in this field.","Veuillez ne saisir que des lettres (a-z) dans ce champ."
